id,date,who,
l:intro,8/25/14,"knoblock,szekely",
l:rdf,8/27/14,szekely,
l:rdfs,9/3/14,szekely,(Craig at NIH meeting)
l:sparql,9/8/14,szekely,
l:linked-data,9/10/14,szekely,
l:data-cleaning,9/15/14,bowu,(Craig & Pedro at Memex)
l:social-data-analysis,9/17/14,haowu,(Craig & Pedro at Memex)
l:database-theory-basics,9/22/14,knoblock,(Pedro at Memex)
l:glav,9/24/14,knoblock,(Pedro at Memex)
l:glav,9/29/14,konstantinidis,
l:schema-mapping,10/1/14,knoblock,
l:rdf-mapping,10/6/14,szekely,
l:karma,10/8/14,szekely,
l:automatic-modeling,10/13/14,knoblock,
l:owl2-basics,10/15/14,szekely,
l:linked-services,10/20/14,taheriyan,(Craig & Pedro at ISWC)
l:big-data,10/22/14,slepicka,(Craig & Pedro at ISWC)
l:ontology-based-integration,10/27/14,ambite,(Craig at KDD Workshop -- Pedro should go to iff possible)
l:owl2-profiles,10/29/14,szekely,(Craig visit with Rick S. in DC)
l:record-linkage-string-matching,11/3/14,knoblock,(Pedro at Euromed)
l:record-linkage-record-matching,11/5/14,knoblock,(Pedro at Euromed)
l:mashup-principles,11/10/14,szekely,
l:mashup-tools,11/12/14,szekely,
l:entity-extraction,11/17/14,knoblock,
l:wrapper-generation,11/19/14,knoblock,
l:wrapper-learning,11/24/14,knoblock,
l:intellectual-property,12/1/14,knoblock,
l:review,12/3/14,"knoblock,szekely",
hw:academic-integrity,9/2/14,,
hw:wrapper,9/2/14,,
hw:rdf,9/7/14,,
hw:sparql,9/14/14,,
hw:data-cleaning,9/21/14,,
hw:glav,9/28/14,,
hw:triple-stores,10/5/14,,
hw:karma,10/12/14,,
hw:ontology,10/19/14,,
hw:big-data,10/26/14,,
hw:record-linkage,11/9/14,,
hw:mashups,11/16/14,,
hw:information-extraction,11/23/14,,
final-330,12/15/14,,
final-530,12/10/14,,
